	I	O	P	pmid	y
1022	Treatment of advanced heart failure..	Improved therapy for heart failure has resulted in a significant prolongation of survival, a decreased number of hospitalizations, and an enhanced quality of life for many patients.	Treatment of advanced heart failure..	11174888	-1
1023	The purpose of this study was to calculate the improvement in life expectancy by treating patients with left ventricular dysfunction after a myocardial infarction with an ACE inhibitor.	The purpose of this study was to calculate the improvement in life expectancy by treating patients with left ventricular dysfunction after a myocardial infarction with an ACE inhibitor.	The purpose of this study was to calculate the improvement in life expectancy by treating patients with left ventricular dysfunction after a myocardial infarction with an ACE inhibitor.	11586670	-1
1024	Sixty-two normotensive patients with Type 2 diabetes mellitus and microalbuminuria but normal renal function were randomized to receive either enalapril 5 mg day-1 or no treatment.	Effects of long-term enalapril treatment on persistent microalbuminuria in normotensive type 2 diabetic patients: results of a 4-year, prospective, randomized study..	In normotensive Type 2 diabetic patients with early stage of diabetic microalbuminuria.	8641115	1
1025	Evaluation of hematuria, proteinuria, and hypertension in adolescents.. Signs or symptoms of renal disease in adolescents deserve prompt attention and appropriate evaluation.	Evaluation of hematuria, proteinuria, and hypertension in adolescents.. Signs or symptoms of renal disease in adolescents deserve prompt attention and appropriate evaluation.	Evaluation of hematuria, proteinuria, and hypertension in adolescents.. Signs or symptoms of renal disease in adolescents deserve prompt attention and appropriate evaluation.	9400588	-1
1026	AIMS: To compare the inpatient costs and process quality in the treatment of acute myocardial infarction in France, Germany, Italy, The Netherlands, Sweden, Switzerland, and the U.K. METHODS: A total of 208 European hospitals assessed services for one hypothetical average patient with acute myocardial infarction (cost evaluation) and prospectively followed up one or two real acute myocardial infarction patients (quality evaluation) in 2000/2001.	AIMS: To compare the inpatient costs and process quality in the treatment of acute myocardial infarction in France, Germany, Italy, The Netherlands, Sweden, Switzerland, and the U.K. METHODS: A total of 208 European hospitals assessed services for one hypothetical average patient with acute myocardial infarction (cost evaluation) and prospectively followed up one or two real acute myocardial infarction patients (quality evaluation) in 2000/2001.	AIMS: To compare the inpatient costs and process quality in the treatment of acute myocardial infarction in France, Germany, Italy, The Netherlands, Sweden, Switzerland, and the U.K. METHODS: A total of 208 European hospitals assessed services for one hypothetical average patient with acute myocardial infarction (cost evaluation) and prospectively followed up one or two real acute myocardial infarction patients (quality evaluation) in 2000/2001.	12042007	-1
1027	Is trough:peak ratio a guide to clinical efficacy?.	Is trough:peak ratio a guide to clinical efficacy?.	Is trough:peak ratio a guide to clinical efficacy?.	10563064	-1
1028	OBJECTIVE: To evaluate the efficacy and safety of the second generation dihydropyridine calcium channel blocker lacidipine in patients with heart failure.	Effects of lacidipine on peak oxygen consumption, neurohormones and invasive haemodynamics in patients with mild to moderate chronic heart failure..	OBJECTIVE: To evaluate the efficacy and safety of the second generation dihydropyridine calcium channel blocker lacidipine in patients with heart failure.	8673754	-1
1029	Severe nonproductive cough and cough-induced stress urinary incontinence in diabetic postmenopausal women treated with ACE inhibitor..	Severe nonproductive cough and cough-induced stress urinary incontinence in diabetic postmenopausal women treated with ACE inhibitor..	Severe nonproductive cough and cough-induced stress urinary incontinence in diabetic postmenopausal women treated with ACE inhibitor..	10868884	1
1030	Joint National Committee.. BACKGROUND: We wanted to determine the clinical cost of managing hypertension when following the Joint National Committee on Hypertension (JNC) guidelines, including drug therapy, the cost of monitoring for and treating side effects, compliance, and the cost of switching after therapeutic failures.	Joint National Committee.. BACKGROUND: We wanted to determine the clinical cost of managing hypertension when following the Joint National Committee on Hypertension (JNC) guidelines, including drug therapy, the cost of monitoring for and treating side effects, compliance, and the cost of switching after therapeutic failures.	An economic evaluation of the JNC hypertension guidelines using data from a randomized controlled trial.	10220232	-1
1031	The difficulty in absorbing vitamin B12 when intrinsic factor is not available does not make oral replacement impossible; the dose just needs to be higher.	In studies addressing this issue, there appears to be no real problem with increased severe episodes of hypoglycemia in patients on beta-blockers or increased hypoglycemic unawareness.	The strong position taken against narcotic use in Cope's Early Diagnosis of the Acute Abdomen is probably the reason for the perpetuation of the myth of avoiding narcotics for pain relief in patients with undiagnosed acute abdominal conditions.	10220238	-1
1032	Drug-induced pancreatitis (lisinopril)..	Drug-induced pancreatitis (lisinopril)..	Drug-induced pancreatitis (lisinopril)..	10220239	-1
1033	OBJECTIVE: To determine the effects of ibopamine 100 mg three times daily compared with captopril 25 mg three times daily on exercise capacity in patients with chronic heart failure.	CONCLUSIONS: No difference was detected between the effect of captopril and ibopamine on exercise time in patients with mild to moderate heart failure during a treatment period of 24 weeks.	CONCLUSIONS: No difference was detected between the effect of captopril and ibopamine on exercise time in patients with mild to moderate heart failure during a treatment period of 24 weeks.	9391292	1
1034	Sensitivity and specificity of renal scintigraphy for diagnosing renal artery stenosis were 0.72 and 0.90 and of the captopril-renin test 0.77 to 0.91 and 0.69 to 0.75 depending on the criterion used.	Sensitivity and specificity of renal scintigraphy for diagnosing renal artery stenosis were 0.72 and 0.90 and of the captopril-renin test 0.77 to 0.91 and 0.69 to 0.75 depending on the criterion used.	This prospective multicenter study included 1,205 patients, who were referred for difficult-to-treat hypertension or analysis of possible secondary hypertension.	11022900	-1
1035	Comparison of the combination of enalapril and a very low dose of hydrochlorothiazide with atenolol in patients with mild-to-moderate hypertension.	Comparison of the combination of enalapril and a very low dose of hydrochlorothiazide with atenolol in patients with mild-to-moderate hypertension.	Comparison of the combination of enalapril and a very low dose of hydrochlorothiazide with atenolol in patients with mild-to-moderate hypertension.	9270085	-1
